% function evaluation | noise-free fitness - Fopt (-6,211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8,097011797e+08 +8,097011797e+08 +8,097005586e+08 +8,097005586e+08 -3,3857e+00 -3,4610e+00 +1,7422e+00 -1,3483e+00 +4,6430e+00 -2,9042e+00 +4,0910e+00 +9,2698e-01 -3,5312e+00 -2,0050e+00
3 +1,542585769e+08 +1,542585769e+08 +1,542579558e+08 +1,542579558e+08 -7,7081e-01 +4,1939e+00 +1,6718e+00 +4,9902e+00 -1,0571e+00 +2,7153e+00 -2,2585e+00 +3,8285e+00 -1,6872e+00 +2,8880e+00
17 +4,599127165e+07 +4,599127165e+07 +4,599065054e+07 +4,599065054e+07 +4,2451e-01 +4,5770e+00 -1,4956e+00 -1,2469e+00 +1,9598e+00 +1,8978e-01 +2,8415e+00 -3,2446e-01 -1,8498e+00 -3,2639e+00
141 +3,978095254e+07 +3,978095254e+07 +3,978033143e+07 +3,978033143e+07 +1,4414e-01 +4,4386e+00 -1,5417e+00 -1,2082e+00 +1,8220e+00 +1,6096e-01 +2,8290e+00 -6,4182e-01 -1,5483e+00 -3,2771e+00
616 +2,403883555e+07 +2,403883555e+07 +2,403821444e+07 +2,403821444e+07 -4,4915e-02 +4,1074e+00 -1,4773e+00 -1,5666e+00 +1,6238e+00 -1,9279e-01 +2,3528e+00 -6,4776e-01 -7,9537e-01 -3,0453e+00
1021 +1,545326571e+07 +1,545326571e+07 +1,545264460e+07 +1,545264460e+07 -2,4766e-02 +4,0899e+00 -1,1470e+00 -2,0774e+00 +1,3872e+00 -3,2265e-01 +2,3265e+00 -6,9973e-01 -4,2180e-01 -2,3703e+00
1508 +9,782461097e+06 +9,782461097e+06 +9,781839987e+06 +9,781839987e+06 -2,4187e-01 +4,1186e+00 -1,0224e+00 -2,2688e+00 +1,0961e+00 -6,0320e-01 +1,5900e+00 -1,0703e+00 -2,0013e-01 -2,0562e+00
2104 +6,175721189e+06 +6,175721189e+06 +6,175100079e+06 +6,175100079e+06 -5,3473e-01 +4,0656e+00 -1,1281e+00 -2,5331e+00 +1,2308e+00 -9,1540e-01 +1,6965e+00 -5,2298e-01 +1,8430e-01 -1,6285e+00
2596 +3,684600226e+06 +3,684600226e+06 +3,683979116e+06 +3,683979116e+06 -4,7548e-01 +4,1509e+00 -8,1320e-01 -2,5789e+00 +1,4320e+00 -1,2580e+00 +1,2870e+00 -8,6406e-01 +6,9855e-01 -1,4951e+00
3029 +2,494182098e+06 +2,494182098e+06 +2,493560988e+06 +2,493560988e+06 -9,3201e-01 +3,7123e+00 -8,2664e-01 -2,7182e+00 +1,0893e+00 -9,4842e-01 +1,7770e+00 -9,5393e-01 +9,1356e-01 -1,0471e+00
3209 +1,439281237e+06 +1,439281237e+06 +1,438660127e+06 +1,438660127e+06 -8,5183e-01 +3,8753e+00 -4,9398e-01 -2,8154e+00 +8,7873e-01 -1,3636e+00 +1,2269e+00 -9,6215e-01 +1,0142e+00 -1,0866e+00
4230 +9,872134608e+05 +9,872134608e+05 +9,865923508e+05 +9,865923508e+05 -8,1921e-01 +3,7463e+00 -7,4015e-01 -2,9556e+00 +1,4905e+00 -1,2363e+00 +1,2122e+00 -7,9117e-01 +1,4352e+00 -9,4182e-01
4457 +6,069808456e+05 +6,069808456e+05 +6,063597356e+05 +6,063597356e+05 -1,3232e+00 +3,8647e+00 -5,9686e-01 -3,0520e+00 +1,0414e+00 -1,3396e+00 +1,4657e+00 -8,4562e-01 +1,3932e+00 -8,4711e-01
4747 +3,891309100e+05 +3,891309100e+05 +3,885098000e+05 +3,885098000e+05 -1,2257e+00 +4,0675e+00 -9,2729e-01 -3,2201e+00 +1,1274e+00 -1,3153e+00 +1,0321e+00 -1,0454e+00 +1,3637e+00 -6,4689e-01
5178 +1,827388143e+05 +1,827388143e+05 +1,821177043e+05 +1,821177043e+05 -9,8839e-01 +4,0823e+00 -7,6009e-01 -3,2379e+00 +1,1223e+00 -1,6949e+00 +9,6489e-01 -9,3710e-01 +1,7417e+00 -7,3340e-01
6207 +7,432603208e+04 +7,432603208e+04 +7,370492208e+04 +7,370492208e+04 -1,1724e+00 +4,0910e+00 -6,7378e-01 -3,5032e+00 +9,5279e-01 -1,6060e+00 +1,1063e+00 -9,3024e-01 +1,6754e+00 -6,0244e-01
7765 +5,123466259e+04 +5,123466259e+04 +5,061355259e+04 +5,061355259e+04 -1,1762e+00 +3,9595e+00 -7,2087e-01 -3,2062e+00 +9,7135e-01 -1,5827e+00 +1,1931e+00 -8,0650e-01 +1,6813e+00 -5,8275e-01
8417 +3,127124033e+04 +3,127124033e+04 +3,065013033e+04 +3,065013033e+04 -1,3116e+00 +4,0062e+00 -9,0954e-01 -3,3086e+00 +1,1915e+00 -1,4768e+00 +1,1467e+00 -8,2472e-01 +1,7917e+00 -3,8197e-01
9127 +1,619900615e+04 +1,619900615e+04 +1,557789615e+04 +1,557789615e+04 -1,2852e+00 +3,9951e+00 -7,8348e-01 -3,2486e+00 +1,0969e+00 -1,5784e+00 +1,0701e+00 -7,8112e-01 +1,7170e+00 -5,0966e-01
